id,word,original,addtime,hits,username,sex,country,code,langname,pathmp3,pathogg,num_votes,num_positive_votes,rate
677404,candy,Candy,7/19/2010 19:01,6389,bananaman,m,United Kingdom,en,English,https://apifree.forvo.com/audio/1g1l1n2m2q3o3k3n3p3j1o1k3o2q2o2h263j3k2o242j2k2b3d1f3h3k2d2p3m3d3j39352b2a382b2a2e3d2n2e362a1f1j3m272i1f3q29322j361g3h382c2l2i2o2o2j1l2f232g223a3j333o381h3d312939283m2g352h1t1t_3d3h241l2l1k3c3g1i3c3528323c1p2a3539363j3q211t1t,https://apifree.forvo.com/audio/25233c362p1m3k3d3h1j3j3e2a363n2c292c2l2a1h3q2i3g212a3i2k2m3d2c231g2f2a2p2h31312l3i3n2g3n32343a1i2h292f2g33321b3e3224283k1o3f2n1o2n2c3c1m1g233j38332d3a1l38222n2b3k291b1i253n1t1t_2d2h31252p1h2f26343m31323a1k2l1b35353p2k3a3n1t1t,3,2,1
736955,candy,Candy,8/23/2010 22:36,8079,snowcrocus,f,United States,en,English,https://apifree.forvo.com/audio/1g231j2p331g2k2n2l2j2g262d253i2d1i212g2q2m2g2q3m3p322j2a3b253f2k2b1o2c2q2d1b292n363l2j233m3c372o3l1h3b3c232j3c1f37323e392i3j2o253h3l2436343h3f283f3a1n243d373g2o2c3a3a1p2q211t1t_2f2f2h2g3g1g3g3l3i362o3b2h3o3l2e3l1m3j3l33371t1t,https://apifree.forvo.com/audio/2o3o212k3p1p2e1i2b35313g3j3k2g1l2q2q2m2l3p2p3l1k393l2i2b3536353a3c2n1g2n2l3n351k2i3i1h2h1i1j272f2o1l3e1g292l221n1l2e3m3p3n3i3k361f3i342727273a213j2d27252n2d2h363k361j1n1o3n1t1t_1b3b1m3g39221i3a222c382g362l262p1k32282i3f371t1t,4,4,4
800553,candy,Candy,10/2/2010 14:53,5552,hdo001,f,Australia,en,English,https://apifree.forvo.com/audio/3k2f291g2f3k3o2h3o2f341g27352c3n1j2d271g251g3l2g3m2d1b2c3e2m1i2h1k2o391p22262m1f1j3a1b2j2m2f1g1l1o2a2k2p1l2c2k3c29252q1j26282a331f313g1n1n2j1h263o2o3l25233k1h1l1p1m321m2n3n1t1t_32293f1p3p26262o3l31372e2j3m3f2o2q32321m1h3n1t1t,https://apifree.forvo.com/audio/231o1j2m2j2i393o2g382o1f3p1o243j1f3k2a2p2h1l1i342q1l1j1k2e3k2i1m2g262n1f3m2o31281k242j3n272c1j291n1l2g3d2f272137243o211h382j3f1p3p3a223g3d3m2e2e1h382c273o3l2h2n3d1g262b3b211t1t_1j2m2n3b223c3c2m2o2e211k3l2d3o1f31251k1p25211t1t,0,0,0
813022,candy,Candy,10/9/2010 10:03,5613,Focalist,m,United Kingdom,en,English,https://apifree.forvo.com/audio/2q3p3k3e332c1k1k1m2j3k2n2g1n22342d2d3k1o34313c3i2l3b2n312n1g391k1o213e2i2j2g1b2a363a2f1l1h1f263d3o1o2p1n2f1i272d3o3d2d2b2j33222p223c363f3q2d23382m37263k2e3h3d3g331m3h1p1h371t1t_311j1b2f2n382d25282l3d3o3o291k293k3b2h2d3e3n1t1t,https://apifree.forvo.com/audio/3a3f1m3m36372f2636313i3l25231n1h2a332a2n28343j252e311f3o2k1g2l2i33332f333a1m221o3q311p2k3g262a25343h243p233e2j1i3m2522312d2j2m3k2f1l1g3n2d3e293h263c3k351k2n2p1h1m3l3e1i3h211t1t_292d1k34361b1f281i353c3k38291i322k2e2k2f3p3n1t1t,0,0,0
813100,candy,Candy,10/9/2010 10:46,5611,dangelovich,m,Australia,en,English,https://apifree.forvo.com/audio/1p1b3p251f3i1h1b2m251n2d312h3n1f39373o1o261p3e262j2b2h3m2h2d293q1g3o2535392o2k352h2j3n3c3q1p3k2b2l3g3j3f29272n333f3i2f313k3m3a2k2q3h2d322a3i333m361m2d2j2o222f211p2g1f1i283n1t1t_2i29261f343o2l211l1n3e3i1k1l3p392d3k2p2k2b371t1t,https://apifree.forvo.com/audio/2k2c312832283a312m2h3a1m2n2l1f372a1p2l362a3a3f3l3h1g3p1h3l2b2i3f2o1h211f2g27311f1h3o252639382f3i3c2k1b2q3l2q293c3i35232n3l1p3h3a341n3f2i293g2b2c3o1k3e2j2h2l3d1h381n252a1o2h1t1t_313g232f2g1i1b1f293l1f2f2n2i2o3a1m3g222n2k3n1t1t,0,0,0
1056068,candy,Candy,3/12/2011 11:58,5629,rdbedsole,m,United States,en,English,https://apifree.forvo.com/audio/1p1h3q2e3d3p381f35343e3j1j3627212a2l2a26241g1p1f2i1o2d3d393j3k25221g2j3b3k2j3k3l3o3p3o3l2f2j31283o1j2m1k2421262q3i1g1n25261m1m2p3c2b353m1m292l2k34283j38282e2h3h283j3k2f2f2h1t1t_2139342o3j3l2c2m2d3d3h1f2d3f29262i2q1h3f3f371t1t,https://apifree.forvo.com/audio/3n1l1f1k322k221h1g2a372j3e3l26371m3233371b2g3e2f393e2o2k3b1b362o2e3q3k271f281g3p3k212f3k262q2n252b352q2n1h3o322e3m3a3a22351g1f39352m29231g321g2j281i36253p382g2p213e3k3c3g3n1t1t_2l3o311f3j2b3f3m292n3h1b2p2l3a2f3b3l1i1k3i2h1t1t,0,0,0
1438573,candy,Candy,2/20/2012 13:24,7161,x_WoofyWoo_x,f,United Kingdom,en,English,https://apifree.forvo.com/audio/1j3l2k1o2q1g2p3m2d3a232i3c3j2g3p372p1p2f3a2g1g2b2d1b3a2n3h292f1n29311k1o283l351o27312o323f212b2q273g2j343m1j2d2l29322a1i3f1p21351n1m3k2n1j1f1i3k333g3f1m2m3h242g382c2f1g2b371t1t_3p3i2n3j282c2f253o2123381n3j3n1i2c3g3d3q2b211t1t,https://apifree.forvo.com/audio/3h2i3d2k2b3l383a2j2m3h3i321i3c1n3i2j1g353a32382p2k3e3l32272h1p272m263p2b3j2m1k3m2i3c3n1p1j1o3h2p2m3e331n3h281g222o3k2i1f2m3i3q2c1p2h213a2b2q323j253e1l3h3n3e2o3437261b2g2g371t1t_243l2l311l2a25242a2f222p1o1n1f3j2e2m1i3b2q2h1t1t,4,4,4
1508735,candy,Candy,4/15/2012 0:59,6308,griffeblanche,f,United States,en,English,https://apifree.forvo.com/audio/3o312d233o2n39233m262b3b32322h3g3d3e2p2d3g2c32382l2i3j1j3g2g323e2b2c1p331f2q2n1p2p1l1b2a351k1i2q3l1o223b3n2e3h293q2o232732283a2k1l1k3g3e242k2m1l3q313k1p313k21383g3l2p1o3b211t1t_2g1p391j1i211g222c2g222e3g393k2e22243p213q2h1t1t,https://apifree.forvo.com/audio/3a3b262b3k3k1l2a383o26393f362h213g262n3639363b3e3e282q3a3429213g1k3e261o343g1f3o1b242j1n351p213a3l1o1m1b3g313f2j3o2m2e3m263a29273k1j253e3a1k1g3k1b27392123362b23273k3a3o2l371t1t_3a1k262i3n2o2e3i3g1k1n2p3f1i3e1i2j3e2h1j2o2h1t1t,0,0,0
3083898,candy,Candy,7/17/2014 18:30,49021,wkshimself,m,United States,en,English,https://apifree.forvo.com/audio/312o222q3d1i1o323738312p3o272q3d1f1p3k1l38252o1o2g3k2f23373j35361p3q3b2a312i2l3q383b2237263d3d313c2a292m352c251m3n1g1b3f3c243n2k_382p28232b25283g321i3632322k3m3h292a2j1b1g2h1t1t,https://apifree.forvo.com/audio/3a1m2p32281l2o3n3p2o2g2q23271o3d2b392g3h1f2l23353n1m252f3f22373b292g3o3831282h2q2o1o3n2c3c262m3n233l3f2j2n371h2j2f3h3q2g381m2d3h_2n3d1n3c392e1l3a2e383q3m3p3e2i381o34241i1b371t1t,0,0,0
3084011,candy,Candy,7/17/2014 20:57,49697,kstone11,m,United States,en,English,https://apifree.forvo.com/audio/1h2g2i262h1i2l3j1k2e383f3e332g313q312h2m3o2e3k392q2n1i1o2p1l3q3o2o2l3p381g272626212g3c2i2n3p2f2d2i1n242m2n263n243q2o2j32291h2l1n_2637383j271k2c3h2m1h3d3f323538213b283f253g2h1t1t,https://apifree.forvo.com/audio/1i3j2i353k33373o2d3m3g262m3n3p2e1j3h2d3g2i1h1k2q2l1i1o1g382f2g3c351p24363c3f3c3e2i213e1j3h24232l2o2329343l3b292m313h3j3m25372f3l_3g3l1m1k212q2e2b27373k3i3k3k2e2f3o2h3e2p2q211t1t,2,2,2
